,id,initiative,mistral_7b_vote,mistral_7b_for_prob,mistral_7b_against_prob,mistral_7b_abstain_prob
0,042/000002,Dictamen de la Comisión del Estatuto de los Diputados sobre declaración de actividades de Excmos. Sres. Diputados.,1,0.09211721523059226,0.1538536673580181,0.7540291174113897
1,042/000003,Dictamen de la Comisión del Estatuto de los Diputados sobre declaración de actividades de Excmos. Sres. Diputados.,1,0.09211721523059226,0.1538536673580181,0.7540291174113897
2,042/000010,Dictamen de la Comisión del Estatuto de los Diputados sobre declaración de actividades de Excmos. Sres. Diputados.,1,0.09211721523059226,0.1538536673580181,0.7540291174113897
3,042/000011,Dictamen de la Comisión del Estatuto de los Diputados sobre declaración de actividades de Excmos. Sres. Diputados.,1,0.09211721523059226,0.1538536673580181,0.7540291174113897
4,042/000012,Dictamen de la Comisión del Estatuto de los Diputados sobre declaración de actividades de Excmos. Sres. Diputados.,1,0.09211721523059226,0.1538536673580181,0.7540291174113897
5,042/000017,Dictamen de la Comisión del Estatuto de los Diputados sobre declaración de actividades de Excmos. Sres. Diputados.,1,0.09211721523059226,0.1538536673580181,0.7540291174113897
6,042/000021,Dictamen de la Comisión del Estatuto de los Diputados sobre declaración de actividades de Excmos. Sres. Diputados.,1,0.09211721523059226,0.1538536673580181,0.7540291174113897
7,042/000023,Dictamen de la Comisión del Estatuto de los Diputados sobre declaración de actividades de Excmos. Sres. Diputados.,1,0.09211721523059226,0.1538536673580181,0.7540291174113897
8,042/000024,Dictamen de la Comisión del Estatuto de los Diputados sobre declaración de actividades de Excmos. Sres. Diputados.,1,0.09211721523059226,0.1538536673580181,0.7540291174113897
9,042/000032,Dictamen de la Comisión del Estatuto de los Diputados sobre declaración de actividades de Excmos. Sres. Diputados.,1,0.09211721523059226,0.1538536673580181,0.7540291174113897
10,042/000037,Dictamen de la Comisión del Estatuto de los Diputados sobre declaración de actividades de Excmos. Sres. Diputados.,1,0.09211721523059226,0.1538536673580181,0.7540291174113897
11,110/000004,"Canje de Cartas constitutivo de Acuerdo de Sede entre el Reino de España y las Naciones Unidas para la celebración en Madrid, en noviembre de 2015, de tres reuniones internacionales sobre registro de emisiones y transferencias de contaminantes, hecho en Madrid y Ginebra el 26 de octubre y el 13 de noviembre de 2015.",1,0.052946936415974206,0.15681637592866787,0.7902366876553579
12,110/000005,"Canje de Cartas constitutivo de Acuerdo de Sede entre el Reino de España y las Naciones Unidas para la celebración en Madrid, en noviembre de 2015, de tres reuniones internacionales sobre registro de emisiones y transferencias de contaminantes, hecho en Madrid y Ginebra el 26 de octubre y el 13 de noviembre de 2015.",1,0.052946936415974206,0.15681637592866787,0.7902366876553579
13,110/000006,"Convenio europeo sobre protección de animales de compañía, hecho en Estrasburgo el 13 de noviembre de 1987, así como Reserva y Declaración que España desea formular.",1,0.08404205775513952,0.1942342363864184,0.721723705858442
14,110/000007,"Canje de Cartas constitutivo de Acuerdo de Sede entre el Reino de España y las Naciones Unidas para la celebración en Madrid, en noviembre de 2015, de tres reuniones internacionales sobre registro de emisiones y transferencias de contaminantes, hecho en Madrid y Ginebra el 26 de octubre y el 13 de noviembre de 2015.",1,0.052946936415974206,0.15681637592866787,0.7902366876553579
