,id,initiative,gemma2_9b_vote,gemma2_9b_for_prob,gemma2_9b_against_prob,gemma2_9b_abstain_prob
0,042/000002,Dictamen de la Comisión del Estatuto de los Diputados sobre declaración de actividades de Excmos. Sres. Diputados.,1,0.013185007857799285,0.0005649847335692159,0.9862500074086314
1,042/000003,Dictamen de la Comisión del Estatuto de los Diputados sobre declaración de actividades de Excmos. Sres. Diputados.,1,0.013185007857799285,0.0005649847335692159,0.9862500074086314
2,042/000010,Dictamen de la Comisión del Estatuto de los Diputados sobre declaración de actividades de Excmos. Sres. Diputados.,1,0.013185007857799285,0.0005649847335692159,0.9862500074086314
3,042/000011,Dictamen de la Comisión del Estatuto de los Diputados sobre declaración de actividades de Excmos. Sres. Diputados.,1,0.013185007857799285,0.0005649847335692159,0.9862500074086314
4,042/000012,Dictamen de la Comisión del Estatuto de los Diputados sobre declaración de actividades de Excmos. Sres. Diputados.,1,0.013185007857799285,0.0005649847335692159,0.9862500074086314
5,042/000017,Dictamen de la Comisión del Estatuto de los Diputados sobre declaración de actividades de Excmos. Sres. Diputados.,1,0.013185007857799285,0.0005649847335692159,0.9862500074086314
6,042/000021,Dictamen de la Comisión del Estatuto de los Diputados sobre declaración de actividades de Excmos. Sres. Diputados.,1,0.013185007857799285,0.0005649847335692159,0.9862500074086314
7,042/000023,Dictamen de la Comisión del Estatuto de los Diputados sobre declaración de actividades de Excmos. Sres. Diputados.,1,0.013185007857799285,0.0005649847335692159,0.9862500074086314
8,042/000024,Dictamen de la Comisión del Estatuto de los Diputados sobre declaración de actividades de Excmos. Sres. Diputados.,1,0.013185007857799285,0.0005649847335692159,0.9862500074086314
9,042/000032,Dictamen de la Comisión del Estatuto de los Diputados sobre declaración de actividades de Excmos. Sres. Diputados.,1,0.013185007857799285,0.0005649847335692159,0.9862500074086314
10,042/000037,Dictamen de la Comisión del Estatuto de los Diputados sobre declaración de actividades de Excmos. Sres. Diputados.,1,0.013185007857799285,0.0005649847335692159,0.9862500074086314
11,110/000004,"Canje de Cartas constitutivo de Acuerdo de Sede entre el Reino de España y las Naciones Unidas para la celebración en Madrid, en noviembre de 2015, de tres reuniones internacionales sobre registro de emisiones y transferencias de contaminantes, hecho en Madrid y Ginebra el 26 de octubre y el 13 de noviembre de 2015.",1,0.026318903586035912,0.0028815458241121168,0.970799550589852
12,110/000005,"Canje de Cartas constitutivo de Acuerdo de Sede entre el Reino de España y las Naciones Unidas para la celebración en Madrid, en noviembre de 2015, de tres reuniones internacionales sobre registro de emisiones y transferencias de contaminantes, hecho en Madrid y Ginebra el 26 de octubre y el 13 de noviembre de 2015.",1,0.026318903586035912,0.0028815458241121168,0.970799550589852
13,110/000006,"Convenio europeo sobre protección de animales de compañía, hecho en Estrasburgo el 13 de noviembre de 1987, así como Reserva y Declaración que España desea formular.",1,0.002499464083441063,0.00037416710500133576,0.9971263688115576
14,110/000007,"Canje de Cartas constitutivo de Acuerdo de Sede entre el Reino de España y las Naciones Unidas para la celebración en Madrid, en noviembre de 2015, de tres reuniones internacionales sobre registro de emisiones y transferencias de contaminantes, hecho en Madrid y Ginebra el 26 de octubre y el 13 de noviembre de 2015.",1,0.026318903586035912,0.0028815458241121168,0.970799550589852
15,110/000008,"Canje de Cartas constitutivo de Acuerdo de Sede entre el Reino de España y las Naciones Unidas para la celebración en Madrid, en noviembre de 2015, de tres reuniones internacionales sobre registro de emisiones y transferencias de contaminantes, hecho en Madrid y Ginebra el 26 de octubre y el 13 de noviembre de 2015.",1,0.026318903586035912,0.0028815458241121168,0.970799550589852
16,110/000009,"Canje de Cartas constitutivo de Acuerdo de Sede entre el Reino de España y las Naciones Unidas para la celebración en Madrid, en noviembre de 2015, de tres reuniones internacionales sobre registro de emisiones y transferencias de contaminantes, hecho en Madrid y Ginebra el 26 de octubre y el 13 de noviembre de 2015.",1,0.026318903586035912,0.0028815458241121168,0.970799550589852
17,110/000010,"Canje de Cartas constitutivo de Acuerdo de Sede entre el Reino de España y las Naciones Unidas para la celebración en Madrid, en noviembre de 2015, de tres reuniones internacionales sobre registro de emisiones y transferencias de contaminantes, hecho en Madrid y Ginebra el 26 de octubre y el 13 de noviembre de 2015.",1,0.026318903586035912,0.0028815458241121168,0.970799550589852
18,110/000010,"Denuncia del Acuerdo entre el Reino de España y la Universidad de las Naciones Unidas relativo al Instituto Internacional de la Universidad de las Naciones Unidas para la Alianza de Civilizaciones en Barcelona, hecho en Madrid y Tokio el 28 de junio de 2010.",1,0.0043273170224829545,0.0008143289498655632,0.9948583540276514
19,110/000011,"Denuncia del Acuerdo entre el Reino de España y la Universidad de las Naciones Unidas relativo al Instituto Internacional de la Universidad de las Naciones Unidas para la Alianza de Civilizaciones en Barcelona, hecho en Madrid y Tokio el 28 de junio de 2010.",1,0.0043273170224829545,0.0008143289498655632,0.9948583540276514
20,110/000011,"Canje de Cartas constitutivo de Acuerdo de Sede entre el Reino de España y las Naciones Unidas para la celebración en Madrid, en noviembre de 2015, de tres reuniones internacionales sobre registro de emisiones y transferencias de contaminantes, hecho en Madrid y Ginebra el 26 de octubre y el 13 de noviembre de 2015.",1,0.026318903586035912,0.0028815458241121168,0.970799550589852
