,id,initiative,aguila7b_vote,aguila7b_for_prob,aguila7b_against_prob,aguila7b_abstain_prob
0,042/000002,Dictamen de la Comisión del Estatuto de los Diputados sobre declaración de actividades de Excmos. Sres. Diputados.,1,0.04439958337318166,0.09814468949495933,0.857455727131859
1,042/000003,Dictamen de la Comisión del Estatuto de los Diputados sobre declaración de actividades de Excmos. Sres. Diputados.,1,0.04439958337318166,0.09814468949495933,0.857455727131859
2,042/000010,Dictamen de la Comisión del Estatuto de los Diputados sobre declaración de actividades de Excmos. Sres. Diputados.,1,0.04439958337318166,0.09814468949495933,0.857455727131859
3,042/000011,Dictamen de la Comisión del Estatuto de los Diputados sobre declaración de actividades de Excmos. Sres. Diputados.,1,0.04439958337318166,0.09814468949495933,0.857455727131859
4,042/000012,Dictamen de la Comisión del Estatuto de los Diputados sobre declaración de actividades de Excmos. Sres. Diputados.,1,0.04439958337318166,0.09814468949495933,0.857455727131859
5,042/000017,Dictamen de la Comisión del Estatuto de los Diputados sobre declaración de actividades de Excmos. Sres. Diputados.,1,0.04439958337318166,0.09814468949495933,0.857455727131859
6,042/000021,Dictamen de la Comisión del Estatuto de los Diputados sobre declaración de actividades de Excmos. Sres. Diputados.,1,0.04439958337318166,0.09814468949495933,0.857455727131859
7,042/000023,Dictamen de la Comisión del Estatuto de los Diputados sobre declaración de actividades de Excmos. Sres. Diputados.,1,0.04439958337318166,0.09814468949495933,0.857455727131859
8,042/000024,Dictamen de la Comisión del Estatuto de los Diputados sobre declaración de actividades de Excmos. Sres. Diputados.,1,0.04439958337318166,0.09814468949495933,0.857455727131859
9,042/000032,Dictamen de la Comisión del Estatuto de los Diputados sobre declaración de actividades de Excmos. Sres. Diputados.,1,0.04439958337318166,0.09814468949495933,0.857455727131859
10,042/000037,Dictamen de la Comisión del Estatuto de los Diputados sobre declaración de actividades de Excmos. Sres. Diputados.,1,0.04439958337318166,0.09814468949495933,0.857455727131859
11,110/000004,"Canje de Cartas constitutivo de Acuerdo de Sede entre el Reino de España y las Naciones Unidas para la celebración en Madrid, en noviembre de 2015, de tres reuniones internacionales sobre registro de emisiones y transferencias de contaminantes, hecho en Madrid y Ginebra el 26 de octubre y el 13 de noviembre de 2015.",1,0.1188774149611758,0.23884778041775906,0.6422748046210651
12,110/000005,"Canje de Cartas constitutivo de Acuerdo de Sede entre el Reino de España y las Naciones Unidas para la celebración en Madrid, en noviembre de 2015, de tres reuniones internacionales sobre registro de emisiones y transferencias de contaminantes, hecho en Madrid y Ginebra el 26 de octubre y el 13 de noviembre de 2015.",1,0.1188774149611758,0.23884778041775906,0.6422748046210651
13,110/000006,"Convenio europeo sobre protección de animales de compañía, hecho en Estrasburgo el 13 de noviembre de 1987, así como Reserva y Declaración que España desea formular.",1,0.11636759860474745,0.14923933082042345,0.7343930705748292
14,110/000007,"Canje de Cartas constitutivo de Acuerdo de Sede entre el Reino de España y las Naciones Unidas para la celebración en Madrid, en noviembre de 2015, de tres reuniones internacionales sobre registro de emisiones y transferencias de contaminantes, hecho en Madrid y Ginebra el 26 de octubre y el 13 de noviembre de 2015.",1,0.1188774149611758,0.23884778041775906,0.6422748046210651
15,110/000008,"Canje de Cartas constitutivo de Acuerdo de Sede entre el Reino de España y las Naciones Unidas para la celebración en Madrid, en noviembre de 2015, de tres reuniones internacionales sobre registro de emisiones y transferencias de contaminantes, hecho en Madrid y Ginebra el 26 de octubre y el 13 de noviembre de 2015.",1,0.1188774149611758,0.23884778041775906,0.6422748046210651
16,110/000009,"Canje de Cartas constitutivo de Acuerdo de Sede entre el Reino de España y las Naciones Unidas para la celebración en Madrid, en noviembre de 2015, de tres reuniones internacionales sobre registro de emisiones y transferencias de contaminantes, hecho en Madrid y Ginebra el 26 de octubre y el 13 de noviembre de 2015.",1,0.1188774149611758,0.23884778041775906,0.6422748046210651
